duration,src_bytes,dst_bytes,logged_in,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,anomaly_score,threat_type
0,0,0,0,9,9,1.0,1.0,0.0,0.0,1.0,0.0,69,15,0.13,0.06,0.03,0.13,1.0,0.6,0.0,0.0,anomaly,1.0,Suspicious Connection
0,1,0,0,17,1,0.0,0.0,0.0,0.0,0.06,0.18,255,1,0.0,0.53,0.5,0.0,0.16,0.0,0.35,0.0,anomaly,1.0,Suspicious Connection
4,185,11380,1,2,1,0.0,0.0,0.5,0.0,0.5,1.0,255,249,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,1.0,Suspicious Connection
0,0,0,0,8,1,0.0,0.0,0.88,1.0,0.12,1.0,255,1,0.0,0.07,0.0,0.0,0.0,0.0,0.04,1.0,anomaly,1.0,Suspicious Connection
0,1633,483,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,140,110,0.28,0.03,0.01,0.02,0.01,0.0,0.35,0.0,normal,1.0,Suspicious Connection
0,1,0,0,14,1,0.0,0.0,0.0,0.0,0.07,0.79,255,1,0.0,0.46,0.66,0.0,0.03,0.0,0.31,0.0,anomaly,1.0,Suspicious Connection
0,0,544,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,21,59,0.33,0.19,0.05,0.03,0.0,0.0,0.05,0.0,normal,1.0,Suspicious Connection
0,0,0,0,15,3,1.0,1.0,0.0,0.0,0.2,0.27,97,55,0.24,0.04,0.01,0.04,0.98,0.42,0.0,0.0,anomaly,1.0,Suspicious Connection
667,486700,231624,1,2,2,0.0,0.0,0.0,0.0,1.0,0.0,4,4,1.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,normal,1.0,Unusual Traffic - High Volume Transfer
620,147,105,0,4,2,0.0,0.0,0.0,0.0,0.5,0.5,255,3,0.01,0.55,0.88,0.0,0.0,0.0,0.0,0.0,normal,1.0,Suspicious Connection
