duration,src_bytes,dst_bytes,logged_in,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,anomaly_score,threat_type
35682,381709090,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,78,2,0.03,0.12,0.08,0.0,0.0,0.0,0.08,0.5,anomaly,88.3064748111854,Data Exfiltration - Large Upload
2289,7665876,1281000,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,150,1,0.01,0.04,0.01,0.0,0.0,0.0,0.0,0.0,normal,87.97813020665225,Unusual Traffic - High Volume Transfer
7232,7248552,1437092,1,2,2,0.0,0.0,0.0,0.0,1.0,0.0,11,2,0.18,0.36,0.09,0.0,0.0,0.0,0.0,0.0,normal,87.93050705472737,Malware - Crypto Mining
10,194,954639,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,87.84425535489142,Unusual Traffic - High Volume Transfer
12743,4113,51633,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,72,3,0.03,0.99,0.01,0.67,0.0,0.0,0.96,0.67,anomaly,87.37643067992464,Suspicious Connection
58,835,1639484,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,47,4,0.09,0.06,0.02,0.0,0.0,0.0,0.0,0.0,normal,87.37022039593332,Unusual Traffic - High Volume Transfer
50,780,1593580,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,179,28,0.16,0.03,0.01,0.0,0.0,0.0,0.0,0.0,normal,87.35497313631686,Port Scanning - Slow Scan
0,1492,649186,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,11,11,1.0,0.0,0.09,0.0,0.55,0.55,0.0,0.0,anomaly,87.16526470836821,Unusual Traffic - High Volume Transfer
5041,0,5131424,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,255,65,0.25,0.02,0.0,0.0,0.75,0.85,0.0,0.0,normal,87.05069769748786,Port Scanning - Slow Scan
5042,0,5129964,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,255,64,0.25,0.02,0.0,0.0,0.72,0.83,0.0,0.0,normal,87.04046126161435,Port Scanning - Slow Scan
